epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,4911.21,1.29494,0.75753,1.02411,0.77479,0.69839,0.76691,0.52006,1.09822,0.68817,0.98769,0.00208,0.00208,0.00208
82,4972.49,1.28015,0.75211,1.01925,0.78577,0.70215,0.76787,0.52024,1.09791,0.68642,0.98686,0.001981,0.001981,0.001981
83,5033.35,1.28722,0.75435,1.02175,0.77173,0.71424,0.77322,0.52352,1.09735,0.68473,0.98668,0.001882,0.001882,0.001882
84,5093.23,1.28361,0.75604,1.02205,0.78026,0.70987,0.774,0.52302,1.09798,0.6834,0.98755,0.001783,0.001783,0.001783
85,5153.79,1.27649,0.74604,1.01797,0.78369,0.70293,0.77371,0.52413,1.09854,0.6821,0.98728,0.001684,0.001684,0.001684
86,5213.58,1.27838,0.74432,1.02025,0.79155,0.70476,0.7744,0.52424,1.09869,0.68259,0.98783,0.001585,0.001585,0.001585
87,5273.02,1.28318,0.74831,1.02006,0.78983,0.71042,0.7761,0.52324,1.09754,0.68199,0.9871,0.001486,0.001486,0.001486
88,5333.14,1.27492,0.74676,1.01723,0.80947,0.69858,0.77665,0.52406,1.09721,0.6817,0.98692,0.001387,0.001387,0.001387
89,5393.32,1.26538,0.73766,1.01543,0.82796,0.69426,0.77764,0.52425,1.09663,0.6815,0.98644,0.001288,0.001288,0.001288
90,5455.41,1.27381,0.73734,1.01784,0.81135,0.70086,0.77588,0.52367,1.09601,0.68154,0.9861,0.001189,0.001189,0.001189
91,5534.22,1.24826,0.67255,1.00565,0.81847,0.69648,0.77395,0.52626,1.09602,0.68289,0.98612,0.00109,0.00109,0.00109
92,5593.88,1.24158,0.66384,1.00131,0.82604,0.70211,0.77527,0.52643,1.09576,0.68372,0.98615,0.000991,0.000991,0.000991
93,5653.2,1.22133,0.65523,0.99588,0.80946,0.70878,0.77389,0.52434,1.09616,0.68457,0.98663,0.000892,0.000892,0.000892
94,5712.7,1.22226,0.64937,0.99642,0.80858,0.70472,0.7735,0.52468,1.09594,0.68423,0.98673,0.000793,0.000793,0.000793
95,5772.36,1.21778,0.64866,0.99414,0.80009,0.7056,0.77204,0.52493,1.0958,0.68387,0.98696,0.000694,0.000694,0.000694
96,5832.37,1.21402,0.64667,0.99497,0.79881,0.71073,0.7751,0.52665,1.09548,0.684,0.98699,0.000595,0.000595,0.000595
97,5891.92,1.2165,0.64607,0.99411,0.80303,0.70562,0.77362,0.52814,1.09582,0.68366,0.98764,0.000496,0.000496,0.000496
98,5952.48,1.20601,0.64157,0.99142,0.80344,0.70284,0.77287,0.53002,1.09597,0.68332,0.98811,0.000397,0.000397,0.000397
99,6011.35,1.20403,0.63998,0.98954,0.80638,0.69905,0.77295,0.52903,1.09616,0.68366,0.98865,0.000298,0.000298,0.000298
100,6069.88,1.19688,0.63606,0.9887,0.79122,0.70839,0.77357,0.52975,1.09594,0.68357,0.98873,0.000199,0.000199,0.000199
