epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,9076.48,1.02012,0.65196,1.08705,0.85249,0.7427,0.83352,0.58117,1.07628,0.69467,1.153,0.000794625,0.000794625,0.000794625
97,9169.42,1.01583,0.64976,1.08159,0.83721,0.7453,0.82917,0.58117,1.07744,0.69009,1.15051,0.0007872,0.0007872,0.0007872
98,9262.93,1.02149,0.64501,1.08495,0.84725,0.74729,0.83259,0.58118,1.07599,0.69514,1.15044,0.000779775,0.000779775,0.000779775
99,9356.08,1.01357,0.64456,1.08131,0.82654,0.76425,0.84092,0.58769,1.07643,0.69044,1.15158,0.00077235,0.00077235,0.00077235
100,9449.97,1.00858,0.64109,1.07924,0.84781,0.75735,0.84374,0.58762,1.07494,0.68728,1.15112,0.000764925,0.000764925,0.000764925
101,9543.32,1.01682,0.6504,1.08407,0.84541,0.76753,0.84795,0.59061,1.07371,0.68607,1.14992,0.0007575,0.0007575,0.0007575
102,9636.42,1.01432,0.64403,1.08476,0.83838,0.78144,0.85054,0.58966,1.07207,0.68463,1.14897,0.000750075,0.000750075,0.000750075
103,9729.33,1.00478,0.63027,1.07941,0.86002,0.75465,0.8478,0.59519,1.06975,0.67979,1.14883,0.00074265,0.00074265,0.00074265
104,9822.49,1.00683,0.63662,1.08174,0.86657,0.75023,0.84957,0.59824,1.07017,0.67638,1.14773,0.000735225,0.000735225,0.000735225
105,9915.79,0.99875,0.63301,1.07847,0.86069,0.75609,0.85191,0.59845,1.06934,0.67697,1.14817,0.0007278,0.0007278,0.0007278
106,10009.6,0.99893,0.63189,1.07523,0.8408,0.76903,0.85294,0.5987,1.07022,0.67757,1.14907,0.000720375,0.000720375,0.000720375
107,10102.6,1.00625,0.63624,1.08075,0.83951,0.77043,0.85251,0.59715,1.07004,0.67772,1.15103,0.00071295,0.00071295,0.00071295
108,10195.7,1.00325,0.63257,1.07697,0.84469,0.77311,0.85538,0.59886,1.06879,0.67514,1.14972,0.000705525,0.000705525,0.000705525
109,10288.9,0.99709,0.62244,1.0708,0.84543,0.76451,0.85694,0.60015,1.06995,0.67621,1.14967,0.0006981,0.0006981,0.0006981
110,10384.3,0.9989,0.62892,1.07438,0.8508,0.76307,0.85562,0.60103,1.07054,0.67746,1.14896,0.000690675,0.000690675,0.000690675
111,10477.6,0.98938,0.61914,1.07199,0.83935,0.76317,0.85275,0.59983,1.06953,0.67785,1.14953,0.00068325,0.00068325,0.00068325
112,10571.8,0.9884,0.62238,1.0683,0.81385,0.78788,0.85411,0.60006,1.06856,0.67443,1.14847,0.000675825,0.000675825,0.000675825
113,10665.1,0.99922,0.61946,1.0721,0.82671,0.79418,0.85553,0.60339,1.06627,0.67324,1.14724,0.0006684,0.0006684,0.0006684
114,10758.1,0.98609,0.61656,1.0697,0.82233,0.79849,0.85728,0.6053,1.06533,0.67452,1.14538,0.000660975,0.000660975,0.000660975
115,10851,0.97893,0.61069,1.06429,0.82613,0.79965,0.85557,0.60653,1.06401,0.67365,1.14396,0.00065355,0.00065355,0.00065355
116,10944.2,0.98138,0.61165,1.06606,0.84273,0.7867,0.85607,0.60755,1.06262,0.67332,1.14238,0.000646125,0.000646125,0.000646125
117,11037.5,0.9818,0.61203,1.06299,0.83835,0.79453,0.85445,0.60699,1.06199,0.67261,1.14109,0.0006387,0.0006387,0.0006387
118,11130.5,0.98659,0.61196,1.0633,0.83121,0.79401,0.85295,0.60374,1.06443,0.67549,1.14224,0.000631275,0.000631275,0.000631275
119,11224.1,0.98017,0.61089,1.06547,0.83313,0.79163,0.85543,0.59895,1.06506,0.67516,1.14326,0.00062385,0.00062385,0.00062385
